timestamp_ms,frame_id,detection_count,raw_detection_count,suppressed_detection_count,raw_detection_boxes,active_track_count,track_ids,actor_ids,track_boxes,detection_boxes,suspicious_overlaps,track_events,detector_ms,tracker_ms,pipeline_ms,analysis_lag_ms
0,0,6,7,1,"[{""bbox"":[580.5,467.62,903.75,1020.0],""confidence"":0.814,""class_id"":0},{""bbox"":[873.0,422.25,1089.0,830.25],""confidence"":0.8081,""class_id"":0},{""bbox"":[1212.0,495.0,1530.0,1078.5],""confidence"":0.7925,""class_id"":0},{""bbox"":[190.5,439.5,421.88,942.0],""confidence"":0.7051,""class_id"":0},{""bbox"":[1440.0,428.25,1629.0,626.25],""confidence"":0.46,""class_id"":0},{""bbox"":[489.0,387.75,675.0,554.25],""confidence"":0.3721,""class_id"":0},{""bbox"":[485.25,387.75,707.25,704.25],""confidence"":0.2401,""class_id"":0}]",5,1 2 3 4 5,A0001 A0002 A0003 A0004 A0005,"[{""track_id"":1,""bbox"":[580.5,467.62,903.75,1020.0],""confidence"":0.814},{""track_id"":2,""bbox"":[873.0,422.25,1089.0,830.25],""confidence"":0.8081},{""track_id"":3,""bbox"":[1212.0,495.0,1530.0,1078.5],""confidence"":0.7925},{""track_id"":4,""bbox"":[190.5,439.5,421.88,942.0],""confidence"":0.7051},{""track_id"":5,""bbox"":[1440.0,428.25,1629.0,626.25],""confidence"":0.46}]","[{""bbox"":[580.5,467.62,903.75,1020.0],""confidence"":0.814,""class_id"":0},{""bbox"":[873.0,422.25,1089.0,830.25],""confidence"":0.8081,""class_id"":0},{""bbox"":[1212.0,495.0,1530.0,1078.5],""confidence"":0.7925,""class_id"":0},{""bbox"":[190.5,439.5,421.88,942.0],""confidence"":0.7051,""class_id"":0},{""bbox"":[1440.0,428.25,1629.0,626.25],""confidence"":0.46,""class_id"":0},{""bbox"":[489.0,387.75,675.0,554.25],""confidence"":0.3721,""class_id"":0}]",[],"[{""event"":""TRACK_CREATED"",""track_id"":1},{""event"":""TRACK_CREATED"",""track_id"":2},{""event"":""TRACK_CREATED"",""track_id"":3},{""event"":""TRACK_CREATED"",""track_id"":4},{""event"":""TRACK_CREATED"",""track_id"":5}]",614.5387,0.4949,615.1558,
80,2,6,8,2,"[{""bbox"":[579.0,467.62,901.5,1020.0],""confidence"":0.8135,""class_id"":0},{""bbox"":[873.75,422.25,1089.75,825.0],""confidence"":0.8062,""class_id"":0},{""bbox"":[1213.5,493.5,1534.5,1077.0],""confidence"":0.8062,""class_id"":0},{""bbox"":[194.25,441.75,431.25,939.75],""confidence"":0.6841,""class_id"":0},{""bbox"":[1437.0,426.0,1630.5,627.0],""confidence"":0.4619,""class_id"":0},{""bbox"":[488.25,387.75,675.0,555.0],""confidence"":0.4504,""class_id"":0},{""bbox"":[483.75,387.75,711.75,706.5],""confidence"":0.2069,""class_id"":0},{""bbox"":[1422.0,425.25,1632.0,801.75],""confidence"":0.1038,""class_id"":0}]",5,1 2 3 4 5,A0001 A0002 A0003 A0004 A0005,"[{""track_id"":1,""bbox"":[578.88,467.62,902.12,1020.0],""confidence"":0.8135},{""track_id"":2,""bbox"":[874.83,422.25,1088.47,825.69],""confidence"":0.8062},{""track_id"":3,""bbox"":[1214.57,493.7,1532.63,1077.2],""confidence"":0.8062},{""track_id"":4,""bbox"":[197.02,441.45,426.75,940.05],""confidence"":0.6841},{""track_id"":5,""bbox"":[1438.09,426.3,1629.61,626.9],""confidence"":0.4619}]","[{""bbox"":[579.0,467.62,901.5,1020.0],""confidence"":0.8135,""class_id"":0},{""bbox"":[873.75,422.25,1089.75,825.0],""confidence"":0.8062,""class_id"":0},{""bbox"":[1213.5,493.5,1534.5,1077.0],""confidence"":0.8062,""class_id"":0},{""bbox"":[194.25,441.75,431.25,939.75],""confidence"":0.6841,""class_id"":0},{""bbox"":[1437.0,426.0,1630.5,627.0],""confidence"":0.4619,""class_id"":0},{""bbox"":[488.25,387.75,675.0,555.0],""confidence"":0.4504,""class_id"":0}]",[],"[{""event"":""TRACK_UPDATED"",""track_id"":1},{""event"":""TRACK_UPDATED"",""track_id"":2},{""event"":""TRACK_UPDATED"",""track_id"":3},{""event"":""TRACK_UPDATED"",""track_id"":4},{""event"":""TRACK_UPDATED"",""track_id"":5}]",27.8927,0.9068,28.9102,
160,4,6,8,2,"[{""bbox"":[585.75,468.75,903.0,1031.25],""confidence"":0.8115,""class_id"":0},{""bbox"":[1210.5,493.5,1531.5,1077.0],""confidence"":0.8052,""class_id"":0},{""bbox"":[873.0,423.0,1092.0,827.25],""confidence"":0.792,""class_id"":0},{""bbox"":[193.5,442.5,432.0,940.5],""confidence"":0.6567,""class_id"":0},{""bbox"":[1441.5,426.0,1630.5,625.5],""confidence"":0.458,""class_id"":0},{""bbox"":[488.25,387.75,675.75,555.0],""confidence"":0.3821,""class_id"":0},{""bbox"":[483.0,387.0,709.5,711.0],""confidence"":0.2344,""class_id"":0},{""bbox"":[1245.0,490.5,1554.0,828.0],""confidence"":0.1013,""class_id"":0}]",6,1 2 3 4 5 6,A0001 A0002 A0003 A0004 A0005 A0006,"[{""track_id"":1,""bbox"":[579.68,468.5,907.19,1028.77],""confidence"":0.8115},{""track_id"":2,""bbox"":[875.35,422.84,1089.35,826.68],""confidence"":0.792},{""track_id"":3,""bbox"":[1212.64,493.48,1530.78,1076.98],""confidence"":0.8052},{""track_id"":4,""bbox"":[198.02,442.37,427.7,940.3],""confidence"":0.6567},{""track_id"":5,""bbox"":[1440.09,425.96,1630.88,625.85],""confidence"":0.458},{""track_id"":6,""bbox"":[488.55,387.75,675.3,555.0],""confidence"":0.3821}]","[{""bbox"":[585.75,468.75,903.0,1031.25],""confidence"":0.8115,""class_id"":0},{""bbox"":[1210.5,493.5,1531.5,1077.0],""confidence"":0.8052,""class_id"":0},{""bbox"":[873.0,423.0,1092.0,827.25],""confidence"":0.792,""class_id"":0},{""bbox"":[193.5,442.5,432.0,940.5],""confidence"":0.6567,""class_id"":0},{""bbox"":[1441.5,426.0,1630.5,625.5],""confidence"":0.458,""class_id"":0},{""bbox"":[488.25,387.75,675.75,555.0],""confidence"":0.3821,""class_id"":0}]",[],"[{""event"":""TRACK_CREATED"",""track_id"":6},{""event"":""TRACK_UPDATED"",""track_id"":1},{""event"":""TRACK_UPDATED"",""track_id"":2},{""event"":""TRACK_UPDATED"",""track_id"":3},{""event"":""TRACK_UPDATED"",""track_id"":4},{""event"":""TRACK_UPDATED"",""track_id"":5}]",27.416,0.799,28.3313,
240,6,6,7,1,"[{""bbox"":[1212.0,493.5,1533.0,1077.0],""confidence"":0.833,""class_id"":0},{""bbox"":[586.5,469.12,904.5,1027.5],""confidence"":0.8228,""class_id"":0},{""bbox"":[873.0,423.0,1098.0,829.5],""confidence"":0.7969,""class_id"":0},{""bbox"":[189.38,441.75,427.88,938.25],""confidence"":0.6826,""class_id"":0},{""bbox"":[1441.5,426.0,1630.5,629.25],""confidence"":0.4658,""class_id"":0},{""bbox"":[488.62,387.75,675.38,555.0],""confidence"":0.3098,""class_id"":0},{""bbox"":[483.0,386.62,708.0,712.12],""confidence"":0.3091,""class_id"":0}]",5,1 2 3 4 5,A0001 A0002 A0003 A0004 A0005,"[{""track_id"":1,""bbox"":[581.83,469.06,908.65,1028.69],""confidence"":0.8228},{""track_id"":2,""bbox"":[877.16,423.02,1092.53,828.78],""confidence"":0.7969},{""track_id"":3,""bbox"":[1213.09,493.43,1531.34,1076.93],""confidence"":0.833},{""track_id"":4,""bbox"":[195.18,442.05,424.62,938.69],""confidence"":0.6826},{""track_id"":5,""bbox"":[1439.48,425.89,1632.55,628.36],""confidence"":0.4658}]","[{""bbox"":[1212.0,493.5,1533.0,1077.0],""confidence"":0.833,""class_id"":0},{""bbox"":[586.5,469.12,904.5,1027.5],""confidence"":0.8228,""class_id"":0},{""bbox"":[873.0,423.0,1098.0,829.5],""confidence"":0.7969,""class_id"":0},{""bbox"":[189.38,441.75,427.88,938.25],""confidence"":0.6826,""class_id"":0},{""bbox"":[1441.5,426.0,1630.5,629.25],""confidence"":0.4658,""class_id"":0},{""bbox"":[483.0,386.62,708.0,712.12],""confidence"":0.3091,""class_id"":0}]",[],"[{""event"":""TRACK_UPDATED"",""track_id"":1},{""event"":""TRACK_UPDATED"",""track_id"":2},{""event"":""TRACK_UPDATED"",""track_id"":3},{""event"":""TRACK_UPDATED"",""track_id"":4},{""event"":""TRACK_UPDATED"",""track_id"":5},{""event"":""TRACK_LOST"",""track_id"":6}]",26.4682,0.7054,27.2704,
320,8,6,7,1,"[{""bbox"":[1211.25,493.12,1533.75,1075.5],""confidence"":0.8491,""class_id"":0},{""bbox"":[585.75,468.75,906.75,1026.75],""confidence"":0.8262,""class_id"":0},{""bbox"":[874.5,423.0,1093.5,829.5],""confidence"":0.8057,""class_id"":0},{""bbox"":[192.38,442.5,420.75,943.5],""confidence"":0.6836,""class_id"":0},{""bbox"":[1443.0,428.25,1629.0,627.75],""confidence"":0.4648,""class_id"":0},{""bbox"":[480.75,386.25,704.25,711.75],""confidence"":0.4102,""class_id"":0},{""bbox"":[482.62,387.75,676.12,557.25],""confidence"":0.248,""class_id"":0}]",5,1 2 3 4 5,A0001 A0002 A0003 A0004 A0005,"[{""track_id"":1,""bbox"":[583.22,468.95,909.42,1027.88],""confidence"":0.8262},{""track_id"":2,""bbox"":[876.59,423.06,1092.45,829.47],""confidence"":0.8057},{""track_id"":3,""bbox"":[1213.39,493.15,1531.41,1075.82],""confidence"":0.8491},{""track_id"":4,""bbox"":[192.03,442.46,422.7,942.07],""confidence"":0.6836},{""track_id"":5,""bbox"":[1440.63,427.54,1631.68,628.09],""confidence"":0.4648}]","[{""bbox"":[1211.25,493.12,1533.75,1075.5],""confidence"":0.8491,""class_id"":0},{""bbox"":[585.75,468.75,906.75,1026.75],""confidence"":0.8262,""class_id"":0},{""bbox"":[874.5,423.0,1093.5,829.5],""confidence"":0.8057,""class_id"":0},{""bbox"":[192.38,442.5,420.75,943.5],""confidence"":0.6836,""class_id"":0},{""bbox"":[1443.0,428.25,1629.0,627.75],""confidence"":0.4648,""class_id"":0},{""bbox"":[480.75,386.25,704.25,711.75],""confidence"":0.4102,""class_id"":0}]",[],"[{""event"":""TRACK_UPDATED"",""track_id"":1},{""event"":""TRACK_UPDATED"",""track_id"":2},{""event"":""TRACK_UPDATED"",""track_id"":3},{""event"":""TRACK_UPDATED"",""track_id"":4},{""event"":""TRACK_UPDATED"",""track_id"":5}]",25.6038,0.7235,26.421,
400,10,6,7,1,"[{""bbox"":[1212.0,493.5,1533.0,1077.0],""confidence"":0.8384,""class_id"":0},{""bbox"":[585.75,468.75,906.0,1026.75],""confidence"":0.8276,""class_id"":0},{""bbox"":[873.0,422.25,1092.0,828.0],""confidence"":0.7983,""class_id"":0},{""bbox"":[190.12,442.5,425.62,940.5],""confidence"":0.6968,""class_id"":0},{""bbox"":[1443.0,429.75,1629.0,626.25],""confidence"":0.5078,""class_id"":0},{""bbox"":[483.75,387.0,711.75,711.0],""confidence"":0.3496,""class_id"":0},{""bbox"":[489.0,387.75,675.0,554.25],""confidence"":0.269,""class_id"":0}]",6,1 2 3 4 5 7,A0001 A0002 A0003 A0004 A0005 A0006,"[{""track_id"":1,""bbox"":[583.49,468.89,909.21,1027.49],""confidence"":0.8276},{""track_id"":2,""bbox"":[875.35,422.53,1091.21,828.59],""confidence"":0.7983},{""track_id"":3,""bbox"":[1213.25,493.34,1531.69,1076.54],""confidence"":0.8384},{""track_id"":4,""bbox"":[192.25,442.59,422.7,941.08],""confidence"":0.6968},{""track_id"":5,""bbox"":[1442.04,429.19,1630.3,626.88],""confidence"":0.5078},{""track_id"":7,""bbox"":[485.33,386.85,708.07,711.15],""confidence"":0.3496}]","[{""bbox"":[1212.0,493.5,1533.0,1077.0],""confidence"":0.8384,""class_id"":0},{""bbox"":[585.75,468.75,906.0,1026.75],""confidence"":0.8276,""class_id"":0},{""bbox"":[873.0,422.25,1092.0,828.0],""confidence"":0.7983,""class_id"":0},{""bbox"":[190.12,442.5,425.62,940.5],""confidence"":0.6968,""class_id"":0},{""bbox"":[1443.0,429.75,1629.0,626.25],""confidence"":0.5078,""class_id"":0},{""bbox"":[483.75,387.0,711.75,711.0],""confidence"":0.3496,""class_id"":0}]",[],"[{""event"":""TRACK_CREATED"",""track_id"":7},{""event"":""TRACK_UPDATED"",""track_id"":1},{""event"":""TRACK_UPDATED"",""track_id"":2},{""event"":""TRACK_UPDATED"",""track_id"":3},{""event"":""TRACK_UPDATED"",""track_id"":4},{""event"":""TRACK_UPDATED"",""track_id"":5}]",25.5324,0.8054,26.4645,
480,12,6,7,1,"[{""bbox"":[1212.75,493.5,1532.25,1077.0],""confidence"":0.8242,""class_id"":0},{""bbox"":[585.0,468.75,906.0,1026.75],""confidence"":0.8228,""class_id"":0},{""bbox"":[872.25,422.25,1088.25,822.75],""confidence"":0.8086,""class_id"":0},{""bbox"":[190.12,442.5,427.88,939.75],""confidence"":0.6978,""class_id"":0},{""bbox"":[1441.5,431.25,1629.0,629.25],""confidence"":0.5059,""class_id"":0},{""bbox"":[489.38,387.75,674.62,554.25],""confidence"":0.3174,""class_id"":0},{""bbox"":[484.5,387.75,705.0,710.25],""confidence"":0.2776,""class_id"":0}]",6,1 2 3 4 5 7,A0001 A0002 A0003 A0004 A0005 A0006,"[{""track_id"":1,""bbox"":[583.35,468.85,908.72,1027.29],""confidence"":0.8228},{""track_id"":2,""bbox"":[874.23,422.34,1088.24,824.58],""confidence"":0.8086},{""track_id"":3,""bbox"":[1213.19,493.41,1531.79,1076.81],""confidence"":0.8242},{""track_id"":4,""bbox"":[193.1,442.61,423.59,940.19],""confidence"":0.6978},{""track_id"":5,""bbox"":[1441.5,430.81,1629.75,628.56],""confidence"":0.5059},{""track_id"":7,""bbox"":[484.32,387.54,706.07,710.46],""confidence"":0.2776}]","[{""bbox"":[1212.75,493.5,1532.25,1077.0],""confidence"":0.8242,""class_id"":0},{""bbox"":[585.0,468.75,906.0,1026.75],""confidence"":0.8228,""class_id"":0},{""bbox"":[872.25,422.25,1088.25,822.75],""confidence"":0.8086,""class_id"":0},{""bbox"":[190.12,442.5,427.88,939.75],""confidence"":0.6978,""class_id"":0},{""bbox"":[1441.5,431.25,1629.0,629.25],""confidence"":0.5059,""class_id"":0},{""bbox"":[484.5,387.75,705.0,710.25],""confidence"":0.2776,""class_id"":0}]",[],"[{""event"":""TRACK_UPDATED"",""track_id"":1},{""event"":""TRACK_UPDATED"",""track_id"":2},{""event"":""TRACK_UPDATED"",""track_id"":3},{""event"":""TRACK_UPDATED"",""track_id"":4},{""event"":""TRACK_UPDATED"",""track_id"":5},{""event"":""TRACK_UPDATED"",""track_id"":7}]",26.1992,0.7401,27.0365,
560,14,6,8,2,"[{""bbox"":[583.5,467.62,906.0,1017.0],""confidence"":0.8262,""class_id"":0},{""bbox"":[1212.75,492.0,1533.75,1077.0],""confidence"":0.8164,""class_id"":0},{""bbox"":[873.0,422.25,1092.0,827.25],""confidence"":0.7886,""class_id"":0},{""bbox"":[190.12,441.0,423.38,940.5],""confidence"":0.7075,""class_id"":0},{""bbox"":[1440.0,432.75,1629.0,627.75],""confidence"":0.5352,""class_id"":0},{""bbox"":[489.0,387.75,675.0,554.25],""confidence"":0.2805,""class_id"":0},{""bbox"":[482.25,387.0,692.25,711.0],""confidence"":0.2744,""class_id"":0},{""bbox"":[1440.75,432.0,1638.0,805.5],""confidence"":0.1619,""class_id"":0}]",6,1 2 3 4 5 7,A0001 A0002 A0003 A0004 A0005 A0006,"[{""track_id"":1,""bbox"":[584.37,468.06,906.37,1020.45],""confidence"":0.8262},{""track_id"":2,""bbox"":[874.47,422.27,1089.64,826.26],""confidence"":0.7886},{""track_id"":3,""bbox"":[1213.37,492.41,1532.66,1076.91],""confidence"":0.8164},{""track_id"":4,""bbox"":[191.54,441.57,422.72,940.38],""confidence"":0.7075},{""track_id"":5,""bbox"":[1441.63,432.39,1628.17,628.11],""confidence"":0.5352},{""track_id"":7,""bbox"":[477.9,387.19,699.78,710.81],""confidence"":0.2744}]","[{""bbox"":[583.5,467.62,906.0,1017.0],""confidence"":0.8262,""class_id"":0},{""bbox"":[1212.75,492.0,1533.75,1077.0],""confidence"":0.8164,""class_id"":0},{""bbox"":[873.0,422.25,1092.0,827.25],""confidence"":0.7886,""class_id"":0},{""bbox"":[190.12,441.0,423.38,940.5],""confidence"":0.7075,""class_id"":0},{""bbox"":[1440.0,432.75,1629.0,627.75],""confidence"":0.5352,""class_id"":0},{""bbox"":[482.25,387.0,692.25,711.0],""confidence"":0.2744,""class_id"":0}]",[],"[{""event"":""TRACK_UPDATED"",""track_id"":1},{""event"":""TRACK_UPDATED"",""track_id"":2},{""event"":""TRACK_UPDATED"",""track_id"":3},{""event"":""TRACK_UPDATED"",""track_id"":4},{""event"":""TRACK_UPDATED"",""track_id"":5},{""event"":""TRACK_UPDATED"",""track_id"":7}]",25.5618,0.72,26.3787,
640,16,6,8,2,"[{""bbox"":[1213.5,492.0,1533.0,1077.0],""confidence"":0.8257,""class_id"":0},{""bbox"":[585.0,468.75,906.0,1026.75],""confidence"":0.8208,""class_id"":0},{""bbox"":[871.5,422.25,1093.5,828.0],""confidence"":0.7939,""class_id"":0},{""bbox"":[193.5,441.0,423.0,947.25],""confidence"":0.7007,""class_id"":0},{""bbox"":[1437.0,432.75,1632.0,629.25],""confidence"":0.4524,""class_id"":0},{""bbox"":[488.25,388.5,674.25,553.5],""confidence"":0.2949,""class_id"":0},{""bbox"":[483.0,387.75,702.0,708.75],""confidence"":0.2854,""class_id"":0},{""bbox"":[1413.0,434.25,1632.0,801.75],""confidence"":0.1223,""class_id"":0}]",6,1 2 3 4 5 7,A0001 A0002 A0003 A0004 A0005 A0006,"[{""track_id"":1,""bbox"":[583.68,468.53,907.53,1024.61],""confidence"":0.8208},{""track_id"":2,""bbox"":[874.26,422.24,1090.45,827.39],""confidence"":0.7939},{""track_id"":3,""bbox"":[1213.45,492.05,1532.96,1076.95],""confidence"":0.8257},{""track_id"":4,""bbox"":[191.15,441.19,424.32,945.05],""confidence"":0.7007},{""track_id"":5,""bbox"":[1440.94,432.92,1628.32,628.96],""confidence"":0.4524},{""track_id"":7,""bbox"":[480.61,387.62,701.09,709.25],""confidence"":0.2854}]","[{""bbox"":[1213.5,492.0,1533.0,1077.0],""confidence"":0.8257,""class_id"":0},{""bbox"":[585.0,468.75,906.0,1026.75],""confidence"":0.8208,""class_id"":0},{""bbox"":[871.5,422.25,1093.5,828.0],""confidence"":0.7939,""class_id"":0},{""bbox"":[193.5,441.0,423.0,947.25],""confidence"":0.7007,""class_id"":0},{""bbox"":[1437.0,432.75,1632.0,629.25],""confidence"":0.4524,""class_id"":0},{""bbox"":[483.0,387.75,702.0,708.75],""confidence"":0.2854,""class_id"":0}]",[],"[{""event"":""TRACK_UPDATED"",""track_id"":1},{""event"":""TRACK_UPDATED"",""track_id"":2},{""event"":""TRACK_UPDATED"",""track_id"":3},{""event"":""TRACK_UPDATED"",""track_id"":4},{""event"":""TRACK_UPDATED"",""track_id"":5},{""event"":""TRACK_UPDATED"",""track_id"":7}]",25.6049,0.7212,26.4204,
720,18,6,10,4,"[{""bbox"":[1213.5,492.0,1534.5,1078.5],""confidence"":0.833,""class_id"":0},{""bbox"":[585.0,467.62,902.25,1017.0],""confidence"":0.8164,""class_id"":0},{""bbox"":[873.0,422.25,1090.5,828.75],""confidence"":0.7642,""class_id"":0},{""bbox"":[190.5,440.25,416.25,943.5],""confidence"":0.7002,""class_id"":0},{""bbox"":[1438.5,434.25,1636.5,623.25],""confidence"":0.4272,""class_id"":0},{""bbox"":[487.12,387.75,674.62,554.25],""confidence"":0.3594,""class_id"":0},{""bbox"":[1542.0,438.75,1632.0,612.75],""confidence"":0.2744,""class_id"":0},{""bbox"":[481.5,387.38,699.0,711.38],""confidence"":0.2532,""class_id"":0},{""bbox"":[1438.5,435.0,1639.5,808.5],""confidence"":0.2394,""class_id"":0},{""bbox"":[876.0,424.5,1089.0,592.5],""confidence"":0.1041,""class_id"":0}]",6,1 2 3 4 5 7,A0001 A0002 A0003 A0004 A0005 A0006,"[{""track_id"":1,""bbox"":[583.88,467.94,904.93,1019.54],""confidence"":0.8164},{""track_id"":2,""bbox"":[873.59,422.24,1090.33,828.32],""confidence"":0.7642},{""track_id"":3,""bbox"":[1213.68,491.93,1533.87,1077.98],""confidence"":0.833},{""track_id"":4,""bbox"":[188.4,440.54,420.97,944.24],""confidence"":0.7002},{""track_id"":5,""bbox"":[1444.6,434.1,1628.53,625.19],""confidence"":0.4272},{""track_id"":7,""bbox"":[479.37,387.49,700.69,710.65],""confidence"":0.2532}]","[{""bbox"":[1213.5,492.0,1534.5,1078.5],""confidence"":0.833,""class_id"":0},{""bbox"":[585.0,467.62,902.25,1017.0],""confidence"":0.8164,""class_id"":0},{""bbox"":[873.0,422.25,1090.5,828.75],""confidence"":0.7642,""class_id"":0},{""bbox"":[190.5,440.25,416.25,943.5],""confidence"":0.7002,""class_id"":0},{""bbox"":[1438.5,434.25,1636.5,623.25],""confidence"":0.4272,""class_id"":0},{""bbox"":[481.5,387.38,699.0,711.38],""confidence"":0.2532,""class_id"":0}]",[],"[{""event"":""TRACK_UPDATED"",""track_id"":1},{""event"":""TRACK_UPDATED"",""track_id"":2},{""event"":""TRACK_UPDATED"",""track_id"":3},{""event"":""TRACK_UPDATED"",""track_id"":4},{""event"":""TRACK_UPDATED"",""track_id"":5},{""event"":""TRACK_UPDATED"",""track_id"":7}]",25.5185,0.7029,26.3214,
800,20,6,9,3,"[{""bbox"":[1212.75,493.5,1533.75,1078.5],""confidence"":0.8467,""class_id"":0},{""bbox"":[589.5,466.88,901.5,1018.5],""confidence"":0.8193,""class_id"":0},{""bbox"":[873.0,423.0,1090.5,828.0],""confidence"":0.75,""class_id"":0},{""bbox"":[193.12,441.0,417.75,945.0],""confidence"":0.6768,""class_id"":0},{""bbox"":[1438.5,433.5,1636.5,627.0],""confidence"":0.4863,""class_id"":0},{""bbox"":[487.88,387.75,674.62,555.0],""confidence"":0.3259,""class_id"":0},{""bbox"":[482.25,387.0,699.75,713.25],""confidence"":0.2644,""class_id"":0},{""bbox"":[1439.25,435.0,1644.0,808.5],""confidence"":0.2167,""class_id"":0},{""bbox"":[891.0,423.0,1084.5,579.0],""confidence"":0.1447,""class_id"":0}]",6,1 2 3 4 5 7,A0001 A0002 A0003 A0004 A0005 A0006,"[{""track_id"":1,""bbox"":[585.07,467.21,905.34,1018.66],""confidence"":0.8193},{""track_id"":2,""bbox"":[873.57,422.74,1090.05,828.16],""confidence"":0.75},{""track_id"":3,""bbox"":[1213.5,492.91,1533.47,1078.37],""confidence"":0.8467},{""track_id"":4,""bbox"":[188.88,440.81,421.02,944.91],""confidence"":0.6768},{""track_id"":5,""bbox"":[1444.26,433.98,1630.31,626.33],""confidence"":0.4863},{""track_id"":7,""bbox"":[479.1,387.17,701.58,712.47],""confidence"":0.2644}]","[{""bbox"":[1212.75,493.5,1533.75,1078.5],""confidence"":0.8467,""class_id"":0},{""bbox"":[589.5,466.88,901.5,1018.5],""confidence"":0.8193,""class_id"":0},{""bbox"":[873.0,423.0,1090.5,828.0],""confidence"":0.75,""class_id"":0},{""bbox"":[193.12,441.0,417.75,945.0],""confidence"":0.6768,""class_id"":0},{""bbox"":[1438.5,433.5,1636.5,627.0],""confidence"":0.4863,""class_id"":0},{""bbox"":[482.25,387.0,699.75,713.25],""confidence"":0.2644,""class_id"":0}]",[],"[{""event"":""TRACK_UPDATED"",""track_id"":1},{""event"":""TRACK_UPDATED"",""track_id"":2},{""event"":""TRACK_UPDATED"",""track_id"":3},{""event"":""TRACK_UPDATED"",""track_id"":4},{""event"":""TRACK_UPDATED"",""track_id"":5},{""event"":""TRACK_UPDATED"",""track_id"":7}]",20.5417,0.7131,23.2513,
880,22,6,8,2,"[{""bbox"":[1214.25,493.88,1532.25,1078.5],""confidence"":0.8413,""class_id"":0},{""bbox"":[586.5,467.25,901.5,1019.25],""confidence"":0.8276,""class_id"":0},{""bbox"":[873.0,423.75,1095.0,826.5],""confidence"":0.7471,""class_id"":0},{""bbox"":[188.34,441.75,415.5,945.0],""confidence"":0.7017,""class_id"":0},{""bbox"":[1439.25,432.38,1638.0,631.88],""confidence"":0.5225,""class_id"":0},{""bbox"":[480.75,386.25,687.75,713.25],""confidence"":0.3235,""class_id"":0},{""bbox"":[489.0,387.75,675.0,554.25],""confidence"":0.2712,""class_id"":0},{""bbox"":[892.5,423.75,1087.5,579.75],""confidence"":0.1379,""class_id"":0}]",6,1 2 3 4 5 7,A0001 A0002 A0003 A0004 A0005 A0006,"[{""track_id"":1,""bbox"":[584.52,467.2,904.46,1018.86],""confidence"":0.8276},{""track_id"":2,""bbox"":[875.22,423.43,1091.31,827.09],""confidence"":0.7471},{""track_id"":3,""bbox"":[1213.57,493.53,1533.16,1078.51],""confidence"":0.8413},{""track_id"":4,""bbox"":[186.93,441.41,418.53,945.14],""confidence"":0.7017},{""track_id"":5,""bbox"":[1442.85,433.15,1633.73,630.03],""confidence"":0.5225},{""track_id"":7,""bbox"":[474.65,386.54,697.03,713.12],""confidence"":0.3235}]","[{""bbox"":[1214.25,493.88,1532.25,1078.5],""confidence"":0.8413,""class_id"":0},{""bbox"":[586.5,467.25,901.5,1019.25],""confidence"":0.8276,""class_id"":0},{""bbox"":[873.0,423.75,1095.0,826.5],""confidence"":0.7471,""class_id"":0},{""bbox"":[188.34,441.75,415.5,945.0],""confidence"":0.7017,""class_id"":0},{""bbox"":[1439.25,432.38,1638.0,631.88],""confidence"":0.5225,""class_id"":0},{""bbox"":[480.75,386.25,687.75,713.25],""confidence"":0.3235,""class_id"":0}]",[],"[{""event"":""TRACK_UPDATED"",""track_id"":1},{""event"":""TRACK_UPDATED"",""track_id"":2},{""event"":""TRACK_UPDATED"",""track_id"":3},{""event"":""TRACK_UPDATED"",""track_id"":4},{""event"":""TRACK_UPDATED"",""track_id"":5},{""event"":""TRACK_UPDATED"",""track_id"":7}]",17.0272,0.7189,18.0752,
