timestamp_ms,frame_id,detection_count,raw_detection_count,suppressed_detection_count,raw_detection_boxes,active_track_count,track_ids,actor_ids,track_boxes,detection_boxes,suspicious_overlaps,track_events,detector_ms,tracker_ms,pipeline_ms,analysis_lag_ms
0,0,7,12,5,"[{""bbox"":[656.62,533.25,960.0,807.75],""confidence"":0.811,""class_id"":0},{""bbox"":[1386.0,290.25,1615.5,744.0],""confidence"":0.7017,""class_id"":0},{""bbox"":[360.75,423.0,621.0,926.25],""confidence"":0.6772,""class_id"":0},{""bbox"":[1087.5,448.5,1348.5,933.0],""confidence"":0.6206,""class_id"":0},{""bbox"":[814.5,318.94,1012.5,512.25],""confidence"":0.4863,""class_id"":0},{""bbox"":[1128.0,306.0,1300.5,427.5],""confidence"":0.3694,""class_id"":0},{""bbox"":[806.25,318.94,1016.25,704.25],""confidence"":0.3008,""class_id"":0},{""bbox"":[1120.5,311.81,1399.5,550.5],""confidence"":0.2783,""class_id"":0},{""bbox"":[604.5,531.38,1012.5,1080.0],""confidence"":0.2,""class_id"":0},{""bbox"":[365.44,427.12,627.75,648.38],""confidence"":0.1268,""class_id"":0},{""bbox"":[535.5,144.38,646.5,391.12],""confidence"":0.1217,""class_id"":0},{""bbox"":[1384.5,288.0,1615.5,514.5],""confidence"":0.114,""class_id"":0}]",5,1 2 3 4 5,A0001 A0002 A0003 A0004 A0005,"[{""track_id"":1,""bbox"":[656.62,533.25,960.0,807.75],""confidence"":0.811},{""track_id"":2,""bbox"":[1386.0,290.25,1615.5,744.0],""confidence"":0.7017},{""track_id"":3,""bbox"":[360.75,423.0,621.0,926.25],""confidence"":0.6772},{""track_id"":4,""bbox"":[1087.5,448.5,1348.5,933.0],""confidence"":0.6206},{""track_id"":5,""bbox"":[814.5,318.94,1012.5,512.25],""confidence"":0.4863}]","[{""bbox"":[656.62,533.25,960.0,807.75],""confidence"":0.811,""class_id"":0},{""bbox"":[1386.0,290.25,1615.5,744.0],""confidence"":0.7017,""class_id"":0},{""bbox"":[360.75,423.0,621.0,926.25],""confidence"":0.6772,""class_id"":0},{""bbox"":[1087.5,448.5,1348.5,933.0],""confidence"":0.6206,""class_id"":0},{""bbox"":[814.5,318.94,1012.5,512.25],""confidence"":0.4863,""class_id"":0},{""bbox"":[1120.5,311.81,1399.5,550.5],""confidence"":0.2783,""class_id"":0},{""bbox"":[535.5,144.38,646.5,391.12],""confidence"":0.1217,""class_id"":0}]",[],"[{""event"":""TRACK_CREATED"",""track_id"":1},{""event"":""TRACK_CREATED"",""track_id"":2},{""event"":""TRACK_CREATED"",""track_id"":3},{""event"":""TRACK_CREATED"",""track_id"":4},{""event"":""TRACK_CREATED"",""track_id"":5}]",580.604,0.5232,581.2409,
80,2,7,11,4,"[{""bbox"":[657.38,532.5,960.0,807.0],""confidence"":0.8477,""class_id"":0},{""bbox"":[1386.0,289.5,1617.0,742.5],""confidence"":0.7007,""class_id"":0},{""bbox"":[1088.25,450.0,1346.25,936.75],""confidence"":0.6514,""class_id"":0},{""bbox"":[358.5,420.75,621.75,930.75],""confidence"":0.644,""class_id"":0},{""bbox"":[814.5,317.44,1015.5,515.25],""confidence"":0.4358,""class_id"":0},{""bbox"":[1125.0,305.25,1299.0,426.75],""confidence"":0.3721,""class_id"":0},{""bbox"":[801.0,318.94,1017.0,704.25],""confidence"":0.3372,""class_id"":0},{""bbox"":[1119.0,310.5,1401.0,546.75],""confidence"":0.2878,""class_id"":0},{""bbox"":[534.75,144.09,645.75,390.0],""confidence"":0.1619,""class_id"":0},{""bbox"":[359.44,424.5,627.75,649.5],""confidence"":0.1592,""class_id"":0},{""bbox"":[535.12,144.66,628.12,268.5],""confidence"":0.1221,""class_id"":0}]",4,1 2 3 4,A0001 A0002 A0003 A0004,"[{""track_id"":1,""bbox"":[656.96,532.6,960.32,807.1],""confidence"":0.8477},{""track_id"":2,""bbox"":[1386.8,289.6,1616.0,742.7],""confidence"":0.7007},{""track_id"":3,""bbox"":[358.59,421.05,621.86,930.15],""confidence"":0.644},{""track_id"":4,""bbox"":[1086.36,449.8,1348.33,936.25],""confidence"":0.6514}]","[{""bbox"":[657.38,532.5,960.0,807.0],""confidence"":0.8477,""class_id"":0},{""bbox"":[1386.0,289.5,1617.0,742.5],""confidence"":0.7007,""class_id"":0},{""bbox"":[1088.25,450.0,1346.25,936.75],""confidence"":0.6514,""class_id"":0},{""bbox"":[358.5,420.75,621.75,930.75],""confidence"":0.644,""class_id"":0},{""bbox"":[801.0,318.94,1017.0,704.25],""confidence"":0.3372,""class_id"":0},{""bbox"":[1119.0,310.5,1401.0,546.75],""confidence"":0.2878,""class_id"":0},{""bbox"":[534.75,144.09,645.75,390.0],""confidence"":0.1619,""class_id"":0}]",[],"[{""event"":""TRACK_UPDATED"",""track_id"":1},{""event"":""TRACK_UPDATED"",""track_id"":2},{""event"":""TRACK_UPDATED"",""track_id"":3},{""event"":""TRACK_UPDATED"",""track_id"":4},{""event"":""TRACK_LOST"",""track_id"":5}]",28.0684,0.9163,29.0846,
160,4,7,11,4,"[{""bbox"":[655.12,533.25,958.5,806.25],""confidence"":0.8369,""class_id"":0},{""bbox"":[1384.5,289.5,1617.0,743.25],""confidence"":0.708,""class_id"":0},{""bbox"":[1087.5,447.75,1345.5,938.25],""confidence"":0.6196,""class_id"":0},{""bbox"":[357.0,425.25,621.75,933.75],""confidence"":0.6123,""class_id"":0},{""bbox"":[817.5,319.31,1015.5,511.5],""confidence"":0.4543,""class_id"":0},{""bbox"":[808.5,318.0,1015.5,702.0],""confidence"":0.3774,""class_id"":0},{""bbox"":[1126.5,305.25,1297.5,426.0],""confidence"":0.3667,""class_id"":0},{""bbox"":[1119.0,310.5,1398.0,540.0],""confidence"":0.2744,""class_id"":0},{""bbox"":[357.0,428.25,627.0,651.0],""confidence"":0.1974,""class_id"":0},{""bbox"":[534.0,144.66,645.0,389.25],""confidence"":0.1255,""class_id"":0},{""bbox"":[534.75,144.94,627.75,273.94],""confidence"":0.1116,""class_id"":0}]",4,1 2 3 4,A0001 A0002 A0003 A0004,"[{""track_id"":1,""bbox"":[656.17,533.07,958.29,806.4],""confidence"":0.8369},{""track_id"":2,""bbox"":[1386.16,289.49,1615.69,743.06],""confidence"":0.708},{""track_id"":3,""bbox"":[357.91,424.2,621.15,933.15],""confidence"":0.6123},{""track_id"":4,""bbox"":[1084.88,448.27,1348.43,937.98],""confidence"":0.6196}]","[{""bbox"":[655.12,533.25,958.5,806.25],""confidence"":0.8369,""class_id"":0},{""bbox"":[1384.5,289.5,1617.0,743.25],""confidence"":0.708,""class_id"":0},{""bbox"":[1087.5,447.75,1345.5,938.25],""confidence"":0.6196,""class_id"":0},{""bbox"":[357.0,425.25,621.75,933.75],""confidence"":0.6123,""class_id"":0},{""bbox"":[808.5,318.0,1015.5,702.0],""confidence"":0.3774,""class_id"":0},{""bbox"":[1119.0,310.5,1398.0,540.0],""confidence"":0.2744,""class_id"":0},{""bbox"":[534.0,144.66,645.0,389.25],""confidence"":0.1255,""class_id"":0}]",[],"[{""event"":""TRACK_UPDATED"",""track_id"":1},{""event"":""TRACK_UPDATED"",""track_id"":2},{""event"":""TRACK_UPDATED"",""track_id"":3},{""event"":""TRACK_UPDATED"",""track_id"":4}]",27.7253,0.7032,28.522,
240,6,7,11,4,"[{""bbox"":[656.25,533.25,960.75,807.0],""confidence"":0.8452,""class_id"":0},{""bbox"":[1386.0,290.25,1615.5,743.25],""confidence"":0.7124,""class_id"":0},{""bbox"":[1089.0,451.5,1347.0,940.5],""confidence"":0.6626,""class_id"":0},{""bbox"":[360.56,425.25,621.75,929.25],""confidence"":0.6479,""class_id"":0},{""bbox"":[815.25,319.5,1016.25,513.0],""confidence"":0.4045,""class_id"":0},{""bbox"":[1126.5,306.0,1303.5,426.75],""confidence"":0.3989,""class_id"":0},{""bbox"":[805.5,318.0,1018.5,704.25],""confidence"":0.3354,""class_id"":0},{""bbox"":[1119.75,315.0,1398.75,546.75],""confidence"":0.2524,""class_id"":0},{""bbox"":[363.75,429.0,627.75,649.5],""confidence"":0.1481,""class_id"":0},{""bbox"":[535.12,144.38,646.88,390.38],""confidence"":0.1277,""class_id"":0},{""bbox"":[535.5,145.12,628.5,268.5],""confidence"":0.1147,""class_id"":0}]",4,1 2 3 4,A0001 A0002 A0003 A0004,"[{""track_id"":1,""bbox"":[656.87,533.23,959.28,806.77],""confidence"":0.8452},{""track_id"":2,""bbox"":[1386.1,290.04,1615.43,743.2],""confidence"":0.7124},{""track_id"":3,""bbox"":[359.98,425.24,621.38,930.6],""confidence"":0.6479},{""track_id"":4,""bbox"":[1085.95,450.62,1349.22,940.18],""confidence"":0.6626}]","[{""bbox"":[656.25,533.25,960.75,807.0],""confidence"":0.8452,""class_id"":0},{""bbox"":[1386.0,290.25,1615.5,743.25],""confidence"":0.7124,""class_id"":0},{""bbox"":[1089.0,451.5,1347.0,940.5],""confidence"":0.6626,""class_id"":0},{""bbox"":[360.56,425.25,621.75,929.25],""confidence"":0.6479,""class_id"":0},{""bbox"":[1126.5,306.0,1303.5,426.75],""confidence"":0.3989,""class_id"":0},{""bbox"":[805.5,318.0,1018.5,704.25],""confidence"":0.3354,""class_id"":0},{""bbox"":[535.12,144.38,646.88,390.38],""confidence"":0.1277,""class_id"":0}]",[],"[{""event"":""TRACK_UPDATED"",""track_id"":1},{""event"":""TRACK_UPDATED"",""track_id"":2},{""event"":""TRACK_UPDATED"",""track_id"":3},{""event"":""TRACK_UPDATED"",""track_id"":4}]",27.4461,0.6573,28.1879,
320,8,7,11,4,"[{""bbox"":[656.25,532.5,960.75,807.0],""confidence"":0.8403,""class_id"":0},{""bbox"":[1386.0,290.06,1615.5,743.25],""confidence"":0.7178,""class_id"":0},{""bbox"":[1087.5,452.25,1348.5,914.25],""confidence"":0.6602,""class_id"":0},{""bbox"":[358.88,426.0,621.38,931.5],""confidence"":0.6592,""class_id"":0},{""bbox"":[814.5,316.69,1015.5,514.5],""confidence"":0.4426,""class_id"":0},{""bbox"":[1126.5,306.0,1303.5,426.75],""confidence"":0.397,""class_id"":0},{""bbox"":[805.5,318.38,1018.5,703.12],""confidence"":0.3201,""class_id"":0},{""bbox"":[1119.75,311.06,1398.75,548.25],""confidence"":0.2869,""class_id"":0},{""bbox"":[360.56,429.38,627.75,649.88],""confidence"":0.1353,""class_id"":0},{""bbox"":[535.88,145.22,627.38,272.62],""confidence"":0.1188,""class_id"":0},{""bbox"":[535.5,144.38,645.0,391.12],""confidence"":0.118,""class_id"":0}]",4,1 2 3 4,A0001 A0002 A0003 A0004,"[{""track_id"":1,""bbox"":[656.79,532.72,959.96,806.91],""confidence"":0.8403},{""track_id"":2,""bbox"":[1386.05,290.08,1615.39,743.24],""confidence"":0.7178},{""track_id"":3,""bbox"":[359.61,426.07,621.01,931.34],""confidence"":0.6592},{""track_id"":4,""bbox"":[1091.37,451.96,1344.45,921.48],""confidence"":0.6602}]","[{""bbox"":[656.25,532.5,960.75,807.0],""confidence"":0.8403,""class_id"":0},{""bbox"":[1386.0,290.06,1615.5,743.25],""confidence"":0.7178,""class_id"":0},{""bbox"":[1087.5,452.25,1348.5,914.25],""confidence"":0.6602,""class_id"":0},{""bbox"":[358.88,426.0,621.38,931.5],""confidence"":0.6592,""class_id"":0},{""bbox"":[805.5,318.38,1018.5,703.12],""confidence"":0.3201,""class_id"":0},{""bbox"":[1119.75,311.06,1398.75,548.25],""confidence"":0.2869,""class_id"":0},{""bbox"":[535.5,144.38,645.0,391.12],""confidence"":0.118,""class_id"":0}]",[],"[{""event"":""TRACK_UPDATED"",""track_id"":1},{""event"":""TRACK_UPDATED"",""track_id"":2},{""event"":""TRACK_UPDATED"",""track_id"":3},{""event"":""TRACK_UPDATED"",""track_id"":4}]",27.8147,0.7104,28.6096,
400,10,7,12,5,"[{""bbox"":[654.0,529.5,958.5,807.0],""confidence"":0.8257,""class_id"":0},{""bbox"":[1384.5,289.5,1618.5,741.75],""confidence"":0.7163,""class_id"":0},{""bbox"":[1087.5,445.5,1351.5,940.5],""confidence"":0.6611,""class_id"":0},{""bbox"":[355.69,426.0,621.0,928.5],""confidence"":0.6309,""class_id"":0},{""bbox"":[817.5,315.75,1012.5,510.75],""confidence"":0.499,""class_id"":0},{""bbox"":[1128.0,303.38,1311.0,418.88],""confidence"":0.4121,""class_id"":0},{""bbox"":[809.25,317.25,1016.25,699.75],""confidence"":0.3757,""class_id"":0},{""bbox"":[1119.0,310.12,1398.0,537.38],""confidence"":0.2869,""class_id"":0},{""bbox"":[534.0,143.91,642.0,387.75],""confidence"":0.1842,""class_id"":0},{""bbox"":[354.75,429.0,627.0,651.0],""confidence"":0.1561,""class_id"":0},{""bbox"":[534.0,144.38,628.5,282.38],""confidence"":0.1486,""class_id"":0},{""bbox"":[601.12,530.25,1009.5,1080.0],""confidence"":0.1074,""class_id"":0}]",4,1 2 3 4,A0001 A0002 A0003 A0004,"[{""track_id"":1,""bbox"":[654.03,530.4,959.71,806.96],""confidence"":0.8257},{""track_id"":2,""bbox"":[1386.61,289.69,1615.89,742.18],""confidence"":0.7163},{""track_id"":3,""bbox"":[358.62,426.3,619.19,929.42],""confidence"":0.6309},{""track_id"":4,""bbox"":[1087.98,447.44,1350.24,934.27],""confidence"":0.6611}]","[{""bbox"":[654.0,529.5,958.5,807.0],""confidence"":0.8257,""class_id"":0},{""bbox"":[1384.5,289.5,1618.5,741.75],""confidence"":0.7163,""class_id"":0},{""bbox"":[1087.5,445.5,1351.5,940.5],""confidence"":0.6611,""class_id"":0},{""bbox"":[355.69,426.0,621.0,928.5],""confidence"":0.6309,""class_id"":0},{""bbox"":[809.25,317.25,1016.25,699.75],""confidence"":0.3757,""class_id"":0},{""bbox"":[1119.0,310.12,1398.0,537.38],""confidence"":0.2869,""class_id"":0},{""bbox"":[534.0,143.91,642.0,387.75],""confidence"":0.1842,""class_id"":0}]",[],"[{""event"":""TRACK_UPDATED"",""track_id"":1},{""event"":""TRACK_UPDATED"",""track_id"":2},{""event"":""TRACK_UPDATED"",""track_id"":3},{""event"":""TRACK_UPDATED"",""track_id"":4}]",27.9132,0.8657,28.867,
480,12,7,12,5,"[{""bbox"":[654.0,528.0,960.0,806.25],""confidence"":0.8237,""class_id"":0},{""bbox"":[1384.5,289.5,1618.5,741.75],""confidence"":0.7163,""class_id"":0},{""bbox"":[356.25,424.5,621.75,927.0],""confidence"":0.6558,""class_id"":0},{""bbox"":[1087.5,444.0,1345.5,937.5],""confidence"":0.6504,""class_id"":0},{""bbox"":[816.75,318.0,1014.75,510.0],""confidence"":0.4707,""class_id"":0},{""bbox"":[810.0,317.25,1017.0,699.75],""confidence"":0.4177,""class_id"":0},{""bbox"":[1128.0,303.75,1308.0,419.25],""confidence"":0.4072,""class_id"":0},{""bbox"":[1119.0,312.38,1398.0,536.62],""confidence"":0.2532,""class_id"":0},{""bbox"":[621.38,527.62,1119.0,1068.0],""confidence"":0.2466,""class_id"":0},{""bbox"":[534.0,144.0,643.5,389.25],""confidence"":0.1422,""class_id"":0},{""bbox"":[534.75,144.38,627.75,280.12],""confidence"":0.1389,""class_id"":0},{""bbox"":[354.94,428.25,627.75,650.25],""confidence"":0.1339,""class_id"":0}]",5,1 2 3 4 5,A0001 A0002 A0003 A0004 A0005,"[{""track_id"":1,""bbox"":[653.33,528.55,960.4,806.46],""confidence"":0.8237},{""track_id"":2,""bbox"":[1386.72,289.55,1616.16,741.81],""confidence"":0.7163},{""track_id"":3,""bbox"":[358.62,425.27,619.13,927.68],""confidence"":0.6558},{""track_id"":4,""bbox"":[1085.24,444.9,1349.6,936.48],""confidence"":0.6504},{""track_id"":5,""bbox"":[725.04,317.27,1101.96,697.0],""confidence"":0.4177}]","[{""bbox"":[654.0,528.0,960.0,806.25],""confidence"":0.8237,""class_id"":0},{""bbox"":[1384.5,289.5,1618.5,741.75],""confidence"":0.7163,""class_id"":0},{""bbox"":[356.25,424.5,621.75,927.0],""confidence"":0.6558,""class_id"":0},{""bbox"":[1087.5,444.0,1345.5,937.5],""confidence"":0.6504,""class_id"":0},{""bbox"":[810.0,317.25,1017.0,699.75],""confidence"":0.4177,""class_id"":0},{""bbox"":[1128.0,303.75,1308.0,419.25],""confidence"":0.4072,""class_id"":0},{""bbox"":[534.0,144.0,643.5,389.25],""confidence"":0.1422,""class_id"":0}]",[],"[{""event"":""TRACK_UPDATED"",""track_id"":1},{""event"":""TRACK_UPDATED"",""track_id"":2},{""event"":""TRACK_UPDATED"",""track_id"":3},{""event"":""TRACK_UPDATED"",""track_id"":4},{""event"":""TRACK_UPDATED"",""track_id"":5}]",27.757,0.6998,28.5446,
560,14,7,11,4,"[{""bbox"":[654.38,526.5,960.0,805.5],""confidence"":0.8408,""class_id"":0},{""bbox"":[1384.5,289.5,1618.5,738.75],""confidence"":0.708,""class_id"":0},{""bbox"":[1086.75,447.0,1350.75,940.5],""confidence"":0.6279,""class_id"":0},{""bbox"":[355.5,426.0,621.75,934.5],""confidence"":0.6152,""class_id"":0},{""bbox"":[816.0,318.75,1014.0,510.75],""confidence"":0.4524,""class_id"":0},{""bbox"":[808.5,318.0,1017.0,700.5],""confidence"":0.4321,""class_id"":0},{""bbox"":[1126.5,305.25,1303.5,426.0],""confidence"":0.4226,""class_id"":0},{""bbox"":[1120.5,314.06,1399.5,539.25],""confidence"":0.2437,""class_id"":0},{""bbox"":[354.56,428.25,627.75,651.75],""confidence"":0.1925,""class_id"":0},{""bbox"":[534.75,144.84,627.75,270.0],""confidence"":0.1466,""class_id"":0},{""bbox"":[534.0,145.12,643.5,390.0],""confidence"":0.1208,""class_id"":0}]",6,1 2 3 4 6 5,A0001 A0002 A0003 A0004 A0006 A0005,"[{""track_id"":1,""bbox"":[653.02,526.89,961.0,805.76],""confidence"":0.8408},{""track_id"":2,""bbox"":[1387.13,289.5,1615.87,739.62],""confidence"":0.708},{""track_id"":3,""bbox"":[357.26,425.91,619.98,932.26],""confidence"":0.6152},{""track_id"":4,""bbox"":[1085.73,446.06,1350.92,939.34],""confidence"":0.6279},{""track_id"":6,""bbox"":[1122.38,304.95,1308.82,424.65],""confidence"":0.4226},{""track_id"":5,""bbox"":[724.09,317.57,1102.09,710.8],""confidence"":0.4321}]","[{""bbox"":[654.38,526.5,960.0,805.5],""confidence"":0.8408,""class_id"":0},{""bbox"":[1384.5,289.5,1618.5,738.75],""confidence"":0.708,""class_id"":0},{""bbox"":[1086.75,447.0,1350.75,940.5],""confidence"":0.6279,""class_id"":0},{""bbox"":[355.5,426.0,621.75,934.5],""confidence"":0.6152,""class_id"":0},{""bbox"":[808.5,318.0,1017.0,700.5],""confidence"":0.4321,""class_id"":0},{""bbox"":[1126.5,305.25,1303.5,426.0],""confidence"":0.4226,""class_id"":0},{""bbox"":[534.0,145.12,643.5,390.0],""confidence"":0.1208,""class_id"":0}]",[],"[{""event"":""TRACK_CREATED"",""track_id"":6},{""event"":""TRACK_UPDATED"",""track_id"":1},{""event"":""TRACK_UPDATED"",""track_id"":2},{""event"":""TRACK_UPDATED"",""track_id"":3},{""event"":""TRACK_UPDATED"",""track_id"":4},{""event"":""TRACK_UPDATED"",""track_id"":5}]",22.2205,0.9657,23.3111,
640,16,7,13,6,"[{""bbox"":[653.62,528.0,960.0,807.0],""confidence"":0.8354,""class_id"":0},{""bbox"":[1384.5,289.69,1617.0,738.0],""confidence"":0.7031,""class_id"":0},{""bbox"":[1087.5,449.25,1345.5,937.5],""confidence"":0.6323,""class_id"":0},{""bbox"":[358.5,426.0,622.5,940.5],""confidence"":0.6143,""class_id"":0},{""bbox"":[816.0,317.06,1014.0,512.25],""confidence"":0.4717,""class_id"":0},{""bbox"":[1127.25,306.75,1301.25,426.75],""confidence"":0.3867,""class_id"":0},{""bbox"":[810.0,318.75,1017.0,701.25],""confidence"":0.3784,""class_id"":0},{""bbox"":[1120.5,314.06,1399.5,545.25],""confidence"":0.2644,""class_id"":0},{""bbox"":[365.06,429.38,626.25,647.62],""confidence"":0.1721,""class_id"":0},{""bbox"":[616.12,525.75,1126.5,1065.75],""confidence"":0.1643,""class_id"":0},{""bbox"":[1383.0,288.75,1617.0,514.5],""confidence"":0.1152,""class_id"":0},{""bbox"":[533.62,144.75,644.62,390.38],""confidence"":0.1082,""class_id"":0},{""bbox"":[534.75,145.12,627.75,256.5],""confidence"":0.1071,""class_id"":0}]",4,1 2 3 4,A0001 A0002 A0003 A0004,"[{""track_id"":1,""bbox"":[652.71,527.33,960.93,806.53],""confidence"":0.8354},{""track_id"":2,""bbox"":[1386.83,289.61,1615.19,738.33],""confidence"":0.7031},{""track_id"":3,""bbox"":[357.13,426.12,622.51,938.0],""confidence"":0.6143},{""track_id"":4,""bbox"":[1085.5,448.05,1348.76,938.34],""confidence"":0.6323}]","[{""bbox"":[653.62,528.0,960.0,807.0],""confidence"":0.8354,""class_id"":0},{""bbox"":[1384.5,289.69,1617.0,738.0],""confidence"":0.7031,""class_id"":0},{""bbox"":[1087.5,449.25,1345.5,937.5],""confidence"":0.6323,""class_id"":0},{""bbox"":[358.5,426.0,622.5,940.5],""confidence"":0.6143,""class_id"":0},{""bbox"":[810.0,318.75,1017.0,701.25],""confidence"":0.3784,""class_id"":0},{""bbox"":[1120.5,314.06,1399.5,545.25],""confidence"":0.2644,""class_id"":0},{""bbox"":[533.62,144.75,644.62,390.38],""confidence"":0.1082,""class_id"":0}]",[],"[{""event"":""TRACK_UPDATED"",""track_id"":1},{""event"":""TRACK_UPDATED"",""track_id"":2},{""event"":""TRACK_UPDATED"",""track_id"":3},{""event"":""TRACK_UPDATED"",""track_id"":4},{""event"":""TRACK_LOST"",""track_id"":5},{""event"":""TRACK_LOST"",""track_id"":6}]",18.1961,0.8751,19.1607,
720,18,6,9,3,"[{""bbox"":[651.75,528.0,959.25,808.5],""confidence"":0.8315,""class_id"":0},{""bbox"":[1384.5,290.06,1615.5,740.25],""confidence"":0.7007,""class_id"":0},{""bbox"":[1087.5,449.25,1345.5,935.25],""confidence"":0.625,""class_id"":0},{""bbox"":[358.12,424.5,622.12,933.0],""confidence"":0.6001,""class_id"":0},{""bbox"":[814.5,319.88,1015.5,511.12],""confidence"":0.4475,""class_id"":0},{""bbox"":[812.25,318.56,1017.75,701.25],""confidence"":0.4368,""class_id"":0},{""bbox"":[1127.25,306.75,1301.25,426.75],""confidence"":0.3989,""class_id"":0},{""bbox"":[1119.0,310.5,1398.0,548.25],""confidence"":0.2837,""class_id"":0},{""bbox"":[366.75,427.5,626.25,648.0],""confidence"":0.2075,""class_id"":0}]",4,1 2 3 4,A0001 A0002 A0003 A0004,"[{""track_id"":1,""bbox"":[651.23,527.54,960.5,807.84],""confidence"":0.8315},{""track_id"":2,""bbox"":[1385.87,289.91,1614.76,739.41],""confidence"":0.7007},{""track_id"":3,""bbox"":[357.83,425.17,622.2,935.05],""confidence"":0.6001},{""track_id"":4,""bbox"":[1085.88,448.81,1347.49,936.41],""confidence"":0.625}]","[{""bbox"":[651.75,528.0,959.25,808.5],""confidence"":0.8315,""class_id"":0},{""bbox"":[1384.5,290.06,1615.5,740.25],""confidence"":0.7007,""class_id"":0},{""bbox"":[1087.5,449.25,1345.5,935.25],""confidence"":0.625,""class_id"":0},{""bbox"":[358.12,424.5,622.12,933.0],""confidence"":0.6001,""class_id"":0},{""bbox"":[812.25,318.56,1017.75,701.25],""confidence"":0.4368,""class_id"":0},{""bbox"":[1119.0,310.5,1398.0,548.25],""confidence"":0.2837,""class_id"":0}]",[],"[{""event"":""TRACK_UPDATED"",""track_id"":1},{""event"":""TRACK_UPDATED"",""track_id"":2},{""event"":""TRACK_UPDATED"",""track_id"":3},{""event"":""TRACK_UPDATED"",""track_id"":4}]",18.1719,0.7658,19.0717,
800,20,6,9,3,"[{""bbox"":[652.5,528.0,958.5,808.5],""confidence"":0.8271,""class_id"":0},{""bbox"":[1386.0,289.69,1614.0,741.0],""confidence"":0.71,""class_id"":0},{""bbox"":[1087.5,448.5,1345.5,930.0],""confidence"":0.6416,""class_id"":0},{""bbox"":[357.75,424.5,622.5,930.75],""confidence"":0.6162,""class_id"":0},{""bbox"":[813.0,319.12,1017.0,702.38],""confidence"":0.4456,""class_id"":0},{""bbox"":[814.5,319.88,1015.5,511.88],""confidence"":0.4055,""class_id"":0},{""bbox"":[1128.0,306.75,1302.0,426.75],""confidence"":0.384,""class_id"":0},{""bbox"":[1119.75,308.62,1397.25,550.88],""confidence"":0.314,""class_id"":0},{""bbox"":[364.12,428.25,626.62,648.75],""confidence"":0.1779,""class_id"":0}]",5,1 2 3 4 7,A0001 A0002 A0003 A0004 A0007,"[{""track_id"":1,""bbox"":[650.81,527.65,960.24,808.33],""confidence"":0.8271},{""track_id"":2,""bbox"":[1385.42,289.77,1614.71,740.34],""confidence"":0.71},{""track_id"":3,""bbox"":[358.41,424.8,621.77,932.37],""confidence"":0.6162},{""track_id"":4,""bbox"":[1086.82,448.59,1346.22,932.15],""confidence"":0.6416},{""track_id"":7,""bbox"":[812.14,319.01,1017.86,702.15],""confidence"":0.4456}]","[{""bbox"":[652.5,528.0,958.5,808.5],""confidence"":0.8271,""class_id"":0},{""bbox"":[1386.0,289.69,1614.0,741.0],""confidence"":0.71,""class_id"":0},{""bbox"":[1087.5,448.5,1345.5,930.0],""confidence"":0.6416,""class_id"":0},{""bbox"":[357.75,424.5,622.5,930.75],""confidence"":0.6162,""class_id"":0},{""bbox"":[813.0,319.12,1017.0,702.38],""confidence"":0.4456,""class_id"":0},{""bbox"":[1119.75,308.62,1397.25,550.88],""confidence"":0.314,""class_id"":0}]",[],"[{""event"":""TRACK_CREATED"",""track_id"":7},{""event"":""TRACK_UPDATED"",""track_id"":1},{""event"":""TRACK_UPDATED"",""track_id"":2},{""event"":""TRACK_UPDATED"",""track_id"":3},{""event"":""TRACK_UPDATED"",""track_id"":4}]",17.5757,0.8457,18.5521,
